SNR(dB),BER_OPT,BER,FER_OPT,FER,ITER_OPT,ITER
0,1.22e-01,1.20e-01,9.22e-01,9.23e-01,2.67e+02,2.67e+02
0.5,9.67e-02,8.99e-02,7.93e-01,8.40e-01,2.71e+02,2.71e+02
1,6.85e-02,6.01e-02,6.63e-01,7.13e-01,8.24e+02,8.24e+02
1.5,3.68e-02,3.53e-02,5.42e-01,5.27e-01,7.81e+02,7.81e+02
2,1.80e-02,1.75e-02,3.06e-01,3.54e-01,7.36e+02,7.36e+02
2.5,8.52e-03,7.79e-03,2.38e-01,2.10e-01,7.17e+02,7.17e+02
3,2.93e-03,3.00e-03,9.94e-02,1.17e-01,6.92e+02,6.92e+02
3.5,1.21e-03,1.31e-03,4.84e-02,5.80e-02,6.80e+02,6.80e+02
4,4.15e-04,4.61e-04,2.30e-02,2.56e-02,4.66e+03,4.66e+03
0.00,9.96e-02,9.91e-02,9.82e-01,9.82e-01,1.58e+02,1.58e+02
0.50,8.03e-02,7.94e-02,9.25e-01,9.52e-01,1.85e+02,1.85e+02
1.00,6.13e-02,6.07e-02,8.61e-01,8.91e-01,5.72e+02,5.72e+02
1.50,4.15e-02,4.28e-02,7.16e-01,7.96e-01,5.42e+02,5.42e+02
2.00,2.65e-02,2.83e-02,5.59e-01,6.50e-01,5.12e+02,5.12e+02
2.50,1.54e-02,1.73e-02,4.10e-01,4.91e-01,5.03e+02,5.03e+02
3.00,8.11e-03,9.49e-03,2.59e-01,3.42e-01,4.72e+02,4.72e+02
3.50,3.99e-03,4.67e-03,1.59e-01,2.03e-01,4.58e+02,4.58e+02
4.00,2.22e-03,2.49e-03,1.01e-01,1.17e-01,4.50e+02,4.50e+02
0.00,1.01e-01,1.00e-01,9.85e-01,9.81e-01,1.62e+02,1.62e+02
0.50,8.18e-02,8.02e-02,9.22e-01,9.52e-01,1.68e+02,1.68e+02
1.00,5.91e-02,6.06e-02,8.06e-01,8.91e-01,5.28e+02,5.28e+02
1.50,4.36e-02,4.40e-02,7.80e-01,8.03e-01,5.34e+02,5.34e+02
2.00,2.88e-02,2.85e-02,6.65e-01,6.61e-01,4.77e+02,4.77e+02
2.50,1.60e-02,1.73e-02,4.07e-01,4.90e-01,4.38e+02,4.38e+02
3.00,8.26e-03,9.12e-03,2.66e-01,3.26e-01,4.26e+02,4.26e+02
3.50,4.42e-03,4.99e-03,1.72e-01,2.14e-01,4.08e+02,4.08e+02
4.00,1.92e-03,2.29e-03,9.04e-02,1.16e-01,3.95e+02,3.95e+02
4.50,9.71e-04,1.08e-03,5.26e-02,6.02e-02,4.04e+02,4.04e+02
0.00,1.24e-01,1.23e-01,9.41e-01,9.28e-01,4.73e+01,4.67e+01
0.50,8.92e-02,8.47e-02,7.83e-01,8.21e-01,8.78e+01,8.89e+01
0.00,1.20e-01,1.19e-01,9.38e-01,9.20e-01,2.86e+01,2.83e+01
0.50,9.47e-02,8.83e-02,7.93e-01,8.15e-01,2.53e+01,2.59e+01
1.00,6.43e-02,5.97e-02,6.81e-01,6.98e-01,2.27e+01,2.31e+01
1.50,3.49e-02,3.35e-02,4.86e-01,5.26e-01,1.77e+01,1.86e+01
2.00,1.72e-02,1.68e-02,3.15e-01,3.53e-01,1.31e+01,1.39e+01
2.50,8.24e-03,8.45e-03,2.03e-01,2.18e-01,9.30e+00,9.76e+00
3.00,2.84e-03,3.28e-03,7.70e-02,1.09e-01,5.12e+00,6.01e+00
3.50,1.30e-03,1.23e-03,5.40e-02,5.40e-02,3.90e+00,3.91e+00
4.00,4.17e-04,4.24e-04,2.15e-02,2.45e-02,2.45e+00,2.56e+00
4.50,1.42e-04,2.08e-04,8.00e-03,1.35e-02,1.58e+00,1.72e+00
5.00,9.03e-05,6.94e-05,4.50e-03,4.50e-03,1.13e+00,1.13e+00
